,Importer,WeightKG,Exporter,ValPerKG,ord,min_ord
1052,Guinea-Bissau,101390,Germany,0.999899961,6,6
1053,Guinea-Bissau,73150,Turkey,0.77974026,7,7
1054,Guinea-Bissau,50060,Hungary,0.800599281,8,8
1055,Guinea-Bissau,40485,Poland,0.431204833,9,9
1056,Guinea-Bissau,38008,Estonia,0.570453589,10,10
1057,Guinea-Bissau,22500,Tunisia,0.700438222,11,11
1058,Guyana,135863.505,USA,0.919752985,1,1
1059,Guyana,48601.3805,United Kingdom,0.866368794,2,2
1060,Haiti,8812610,France,0.851224434,1,1
1061,Haiti,8263963,China,0.993939711,2,2
1062,Haiti,2075316,Belgium,0.752196876,3,3
1063,Haiti,771362,USA,1.42558206,4,4
1064,Haiti,626742,Pakistan,1.138785139,5,5
1065,Haiti,272786.5,India,0.889569647,6,6
1066,Haiti,226946.09,Dominican Rep.,0.8250421,7,7
1067,Haiti,182630,Netherlands,1.122725773,8,8
1068,Haiti,47682.977,Chile,1.14053183,10,10
1069,Haiti,31818,Malaysia,1.712779024,11,11
1070,Haiti,27900,U.A Emirates,0.953029355,12,12
1071,Haiti,26483,Germany,1.12315863,13,13
1072,Haiti,25622,South Korea,1.894897543,14,14
1073,Haiti,20183.225,Canada,1.108308327,15,15
1074,Honduras,49779561.15,USA,1.701880707,1,1
1075,Honduras,384784.8405,Canada,1.459533881,2,2
1076,Honduras,344032.855,Nicaragua,2.001826885,3,3
1077,Honduras,264676.49,Spain,1.588275425,4,4
1078,Honduras,101048.8,Pakistan,1.961782553,5,5
1079,Honduras,81365.475,Italy,1.666240154,6,6
1080,Honduras,70964.495,Guatemala,1.762412685,7,7
1081,Honduras,60504.6425,Chile,1.614074122,8,8
1082,Honduras,53450,India,2.114112456,9,9
1083,Honduras,35283.61,Netherlands,5.590854262,10,10
1084,Honduras,33589.66,China,2.738984669,11,11
1085,Honduras,27286.75,U.A Emirates,19.98275114,12,12
1086,Honduras,23976,Poland,4.569194194,13,13
1087,Honduras,23610,Oman,3.470643755,14,14
1088,Honduras,23605,Turkey,3.840566325,15,15
1089,Hungary,15900559,Germany,0.551756379,1,1
1090,Hungary,13758154,United Kingdom,1.20529661,2,2
1091,Hungary,8360736,Austria,0.56278795,3,3
1092,Hungary,6719213.5,Romania,0.524536934,4,4
1093,Hungary,3598162.5,Italy,0.536016755,5,5
1094,Hungary,2232407,Netherlands,0.653290892,6,6
1095,Hungary,1917330.5,Switzerland,0.637496461,7,7
1096,Hungary,1774987.5,Belgium,0.545147389,8,8
1097,Hungary,1760041,Slovakia,0.840236787,9,9
1098,Hungary,1247573.5,Lithuania,1.488801312,10,10
1099,Hungary,674108,Czechia,0.485098545,11,11
1100,Hungary,343640,Morocco,0.313721226,12,12
1101,Hungary,331182,Poland,3.10556022,13,13
1102,Hungary,283406,Malta,1.725108863,14,14
1103,Hungary,265334.5,France,0.352594071,15,15
1104,Hungary,187362.5,Spain,2.080154334,16,16
1105,Hungary,121370,Croatia,0.553167999,17,17
1106,Hungary,120561,Bulgaria,6.38914952,18,18
1107,Hungary,101129.05,Slovenia,12.3813231,19,19
1108,Hungary,93396,Ireland,0.933116958,20,20
1109,Hungary,90826,Georgia,0.597465913,21,21
1110,Hungary,71556.5,U.A Emirates,0.800971294,22,22
1111,Hungary,31440,Denmark,10.14020356,23,23
1112,Hungary,31000,Togo,3.423047763,24,24
1113,Hungary,25449.0045,Canada,1.818864216,25,25
1114,Hungary,23884.837,Turkey,0.503565225,26,26
1115,Hungary,23149,USA,2.439640658,27,27
1116,Iceland,26563.316,Bangladesh,1.460811067,1,1
1117,Iceland,22083.5,Netherlands,10.27907118,2,2
1118,India,93309108,USA,0.456918098,1,1
1119,India,39214345,South Korea,0.478952963,2,2
1120,India,18518729.5,U.A Emirates,0.357572248,3,3
1121,India,14556924.8,Canada,0.789642337,4,4
1122,India,13627809.5,Japan,0.431934975,5,5
1123,India,10155269.5,Germany,0.354341574,6,6
1124,India,5248762.5,China,0.506082821,7,7
1125,India,4657491.5,Belgium,0.159037321,9,9
1126,India,3527730,Kuwait,0.84864658,10,10
1127,India,3034976,United Kingdom,0.201648544,11,11
1128,India,2861325.5,Australia,0.261658781,12,12
1129,India,2762530,Italy,0.199842862,13,13
1130,India,2167820.5,Philippines,0.262483423,14,14
1131,India,2039923,Turkey,0.269969976,15,15
1132,India,1886890,Poland,0.108146145,16,16
1133,India,1781170.5,Tunisia,0.367105014,17,17
1134,India,1606995,Spain,0.175421461,18,18
1135,India,1537910,Malaysia,0.349905392,19,19
1136,India,1529065.5,Portugal,0.144215374,20,20
1137,India,1522250,France,0.131744605,21,21
1138,India,983736.5,Bulgaria,0.285571519,22,22
1139,India,907580,Cambodia,0.850330246,23,23
1140,India,833908,Pakistan,0.12859541,24,24
1141,India,512971,Netherlands,0.102807091,25,25
1142,India,445271,Oman,0.131915653,26,26
1143,India,416393.5,Slovakia,0.161795762,27,27
1144,India,298662,Hungary,0.244042583,28,28
1145,India,296650,Dominican Rep.,0.103697228,29,29
1146,India,284126,Lithuania,0.150486403,30,30
1147,India,213459.088,Thailand,0.491412078,31,31
1148,India,175239.5,Slovenia,0.158940479,32,32
1149,India,166394,Honduras,0.187844796,33,33
1150,India,164297,Togo,0.51266591,34,34
1151,India,153758,Estonia,0.129117533,35,35
1152,India,137445,Ukraine,1.106389538,36,36
1153,India,137270,Seychelles,0.173826932,37,37
1154,India,130072.5,Eswatini,0.114548749,38,38
1155,India,96177.5,Hong Kong,0.404476474,39,39
1156,India,95221,Romania,0.210758729,40,40
1157,India,94245,Morocco,0.196994065,41,41
1158,India,89075.7,United Rep. of Tanzania,0.590250173,42,42
1159,India,88708,New Zealand,0.440360464,43,43
1160,India,81450,Czechia,0.075375066,44,44
1161,India,68115,Croatia,0.52786075,45,45
1162,India,49343.7715,Israel,0.592243133,46,46
1163,India,42190,Chile,2.295344703,47,47
1164,India,38850,North Korea,0.200394872,48,48
1165,India,35955.172,Egypt,1.095049993,49,49
1166,India,35033.5,Greece,0.400392213,50,50
1167,India,33736.5,Guatemala,1.328950705,51,51
1168,India,30315,Nepal,0.829476051,52,52
1169,India,25070,Serbia,0.112405265,53,53
1170,India,24700,Denmark,0.464798462,54,54
1171,India,20865,Cyprus,0.062191441,55,55
1172,Indonesia,11421909,Malaysia,2.625957628,1,1
1173,Indonesia,279868,Singapore,3.904056683,2,2
1174,Indonesia,244999.01,South Korea,2.415914974,3,3
1175,Indonesia,34376,China,6.584539345,5,5
1176,Indonesia,22940,Thailand,6.586189739,6,6
1177,Iran,221138,U.A Emirates,0.636842852,1,1
1178,Iran,88250,Oman,0.85599025,2,2
1179,Iran,54371,Turkey,0.585036141,3,3
1180,Iran,24192,Nigeria,2.552599206,4,4
1181,Iran,23669,China,3.496270419,5,5
1182,Iraq,10672748,South Korea,0.966848182,1,1
1183,Iraq,6917627,Turkey,0.491137079,2,2
1184,Iraq,6086434,China,1.265353929,3,3
1185,Iraq,4622280,U.A Emirates,1.071720453,4,4
1186,Iraq,4422143,Germany,1.06250171,5,5
1187,Iraq,1664610,Netherlands,1.504415544,6,6
1188,Iraq,748021,United Kingdom,1.848220649,7,7
1189,Iraq,510350.1,Belgium,1.205777854,8,8
1190,Iraq,432610.8,Philippines,0.677186053,9,9
1191,Iraq,381511.182,Canada,1.120335321,10,10
1192,Iraq,335669.12,Sweden,1.06013664,11,11
1193,Iraq,200641,Pakistan,0.663675372,12,12
1194,Iraq,199660,Australia,0.51444966,13,13
1195,Iraq,191630,USA,1.185054532,14,14
1196,Iraq,161101,India,0.70909869,15,15
1197,Iraq,153002,Kuwait,1.569704971,16,16
1198,Iraq,140937,Bulgaria,3.793406224,17,17
1199,Iraq,122985,Italy,0.470372818,18,18
1200,Iraq,117187,Hungary,1.126018124,19,19
1201,Iraq,108246,Morocco,2.401767212,20,20
1202,Iraq,101530,Poland,1.663660707,21,21
1203,Iraq,1.00E+05,Tunisia,0.30916111,22,22
1204,Iraq,89355,Spain,0.371022674,23,23
1205,Iraq,89140,Portugal,0.946462133,24,24
1206,Iraq,69500,Slovakia,0.057109799,25,25
1207,Iraq,58880,Russian Federation,0.100033967,26,26
1208,Iraq,45442.9805,Chile,1.091044071,27,27
1209,Iraq,41864.5,Czechia,2.675773492,28,28
1210,Iraq,38750,Lebanon,1.121262968,29,29
1211,Iraq,36586,Romania,0.298514732,30,30
1212,Iraq,30617,Austria,1.171311984,31,31
1213,Iraq,25080,Switzerland,1.133415746,32,32
1214,Ireland,240909,United Kingdom,5.313959925,1,1
1215,Ireland,187356,Netherlands,1.403733475,2,2
1216,Ireland,70477,Portugal,1.286394043,3,3
1217,Ireland,35650,France,0.74989648,4,4
1218,Ireland,34185,Pakistan,1.242904363,5,5
1219,Ireland,29674,Hong Kong,6.49020601,6,6
1220,Ireland,21254.9,Belgium,0.62793864,7,7
1221,Israel,222690.5,Cambodia,0.692512848,1,1
1222,Israel,130124.5095,USA,1.569235921,2,2
1223,Israel,69439.477,Poland,1.440103012,3,3
1224,Israel,50473.804,United Kingdom,1.368285818,4,4
1225,Israel,44418.6275,Germany,1.440101257,5,5
1226,Israel,27076.7205,Thailand,1.383215859,7,7
1227,Israel,24935.8955,Netherlands,2.721266386,8,8
1228,Israel,24303.8665,Japan,1.440101307,9,9
1229,Israel,23260.3255,Italy,9.188645216,10,10
1230,Italy,18905743,Germany,0.552954284,1,1
1231,Italy,10467069.5,Switzerland,0.793991246,2,2
1232,Italy,6061395,Austria,0.56351997,3,3
1233,Italy,1750547.5,U.A Emirates,4.056416843,4,4
1234,Italy,1351620,Czechia,0.477645063,5,5
1235,Italy,1258460,Netherlands,1.177513544,6,6
1236,Italy,1219771,Pakistan,7.807554715,7,7
1237,Italy,887943,Hungary,2.096325149,8,8
1238,Italy,779737.55,Spain,4.415684034,9,9
1239,Italy,743375.305,USA,5.220368962,10,10
1240,Italy,468744,Tunisia,0.890654072,11,11
1241,Italy,463480,United Kingdom,2.232411894,12,12
1242,Italy,345355.5,Poland,2.282223899,13,13
1243,Italy,335783,Belgium,0.830480804,14,14
1244,Italy,283996.5,France,2.975527646,15,15
1245,Italy,283459.5,Romania,0.729752046,16,16
1246,Italy,279851,Malta,0.365331226,17,17
1247,Italy,231789,Bulgaria,2.32773797,18,18
1248,Italy,225356,Greece,0.55512377,19,19
1249,Italy,220661.897,Canada,2.510270492,20,20
1250,Italy,191600.5,India,4.095039358,21,21
1251,Italy,164441,Croatia,0.479616031,22,22
1252,Italy,126259,Morocco,2.32830583,23,23
1253,Italy,121148,Honduras,2.54144759,24,24
1254,Italy,119812,Luxembourg,0.555146546,25,25
1255,Italy,102203.811,Portugal,2.23655438,26,26
1256,Italy,82297,Lithuania,0.517375572,27,27
1257,Italy,79450,Sweden,0.46425348,28,28
1258,Italy,69893,Denmark,0.55516261,29,29
1259,Italy,59268.85,Slovenia,0.50088696,30,30
1260,Italy,47021,Finland,0.479678101,31,31
1261,Italy,36656.5,Thailand,1.770112697,32,32
1262,Italy,25898,Slovakia,5.238985134,33,33
1263,Italy,24235,Guinea,0.879493295,34,34
1264,Italy,23309.305,Philippines,2.435662483,35,35
1265,Italy,20899,Latvia,0.516989269,36,36
1266,Jamaica,1456146,USA,1.244228793,1,1
1267,Jamaica,289950,Canada,1.120335332,2,2
1268,Jamaica,190570.5,United Kingdom,0.77194477,3,3
1269,Jamaica,35537.95,Haiti,1.047670046,4,4
1270,Jamaica,32168.05,China,1.692774595,5,5
1271,Japan,2158831,USA,11.14527769,1,1
1272,Japan,1485759.5,Malaysia,0.504192518,2,2
1273,Japan,1197409,Thailand,11.17817853,3,3
1274,Japan,1062816.402,Canada,6.002713525,4,4
1275,Japan,893592,U.A Emirates,1.527799858,5,5
1276,Japan,887868.5,South Korea,0.432113538,6,6
1277,Japan,538663,Pakistan,3.889023557,7,7
1278,Japan,515321.7265,Vietnam,5.210132508,8,8
1279,Japan,398461.5,India,4.831608835,9,9
1280,Japan,304252,Philippines,1.453760046,10,10
1281,Japan,230916.5,France,7.965970679,11,11
1282,Japan,217027,China,4.527237787,12,12
1283,Japan,157411,Netherlands,9.187537938,13,13
1284,Japan,94841,Cambodia,0.78375733,14,14
1285,Japan,80362.5,Italy,7.733585141,15,15
1286,Japan,60826.5,United Kingdom,13.89613929,16,16
1287,Japan,41870,Mexico,17.00571043,17,17
1288,Japan,38265,Dominican Rep.,4.08319838,18,18
1289,Japan,32754,Germany,9.366761139,19,19
1290,Japan,25300,Morocco,0.813042925,20,20
1291,Japan,21967,Hungary,6.06587788,21,21
1292,Japan,21846.659,Spain,3.356554461,22,22
1293,Japan,20449.761,Jordan,1.154863864,23,23
1294,Jordan,3363747.662,USA,1.205132314,1,1
1295,Jordan,2165616.91,Germany,1.274615203,2,2
1296,Jordan,1995216.954,United Kingdom,1.523603172,3,3
1297,Jordan,1591926.295,U.A Emirates,1.268401536,4,4
1298,Jordan,1178064,Turkey,0.755771487,5,5
1299,Jordan,1050967.9,Belgium,1.215238976,6,6
1300,Jordan,621284.0575,China,1.063342131,7,7
1301,Jordan,560902.8,Cambodia,0.801436577,8,8
1302,Jordan,558579.6505,Poland,1.459943843,9,9
1303,Jordan,476100.138,Aruba,1.346006008,10,10
1304,Jordan,422529.843,Pakistan,1.183838655,11,11
1305,Jordan,421574.364,Netherlands,1.346006008,12,12
1306,Jordan,408542.5,India,1.136776796,13,13
1307,Jordan,386368.1915,Canada,1.137599604,14,14
1308,Jordan,221300,Tunisia,0.881721747,15,15
1309,Jordan,114015.351,Greece,0.972398296,16,16
1310,Jordan,96369.0285,Bangladesh,1.346006008,17,17
1311,Jordan,93493.809,Spain,1.952679238,18,18
1312,Jordan,85619.7995,South Korea,1.404712164,19,19
1313,Jordan,84116.0705,Hungary,1.023754948,20,20
1314,Jordan,50014.55,Philippines,0.965693558,21,21
1315,Jordan,31000,Togo,0.4268,22,22
1316,Jordan,29500,Italy,1.270277291,23,23
1317,Jordan,26960,Lebanon,1.062908012,24,24
1318,Jordan,21955.4555,Ireland,1.291066298,25,25
1319,Jordan,21100,Croatia,0.968293365,26,26
1320,Kazakhstan,545460,Germany,3.968185949,1,1
1321,Kazakhstan,221882,Netherlands,2.864297239,2,2
1322,Kazakhstan,108539.5,Lithuania,2.065715553,4,4
1323,Kazakhstan,72422,Belgium,1.538463391,5,5
1324,Kazakhstan,65074.466,Russian Federation,1.073407419,6,6
1325,Kazakhstan,58292.3,Bangladesh,1.112300081,7,7
1326,Kazakhstan,36916,Poland,1.519116965,8,8
1327,Kazakhstan,25631.68,Belarus,1.790568546,9,9
1328,Kazakhstan,24821,South Korea,2.282824756,10,10
1329,Kazakhstan,24470.17,USA,1.020465312,11,11
1330,Kazakhstan,22180,Sweden,0.425831696,12,12
1331,Kazakhstan,21540,Pakistan,2.191223417,13,13
1332,Kenya,69549500,China,0.934156918,1,1
1333,Kenya,28047744.4,Pakistan,0.922370211,2,2
1334,Kenya,13094790.64,Canada,0.996931422,3,3
1335,Kenya,7524797.5,Poland,1.003525351,4,4
1336,Kenya,7090970.65,United Kingdom,1.114994149,5,5
1337,Kenya,6808231.5,USA,0.959507213,6,6
1338,Kenya,6189954.9,India,0.969880549,7,7
1339,Kenya,4271935.5,Germany,1.1514402,8,8
1340,Kenya,3140768.5,U.A Emirates,1.063326394,9,9
1341,Kenya,2627694.5,South Korea,1.1040678,10,10
1342,Kenya,1972901,Oman,1.20460762,11,11
1343,Kenya,1678059.5,Malaysia,0.867478672,12,12
1344,Kenya,1588770,Turkey,0.99388054,13,13
1345,Kenya,1127402.5,Lithuania,0.849128382,14,14
1346,Kenya,1067977.6,Netherlands,1.162012067,15,15
1347,Kenya,892021.5,Australia,0.882180598,16,16
1348,Kenya,867189.5,Hungary,1.109663982,17,17
1349,Kenya,859658,Italy,1.064121135,18,18
1350,Kenya,562429.54,Belgium,0.982241812,19,19
1351,Kenya,430231.875,Hong Kong,0.902563822,21,21
1352,Kenya,163780,Estonia,0.832398896,22,22
1353,Kenya,145396.9,Ireland,0.968714554,23,23
1354,Kenya,131799,Saudi Arabia,0.861222149,24,24
1355,Kenya,123373.45,Thailand,1.067585983,25,25
1356,Kenya,102195,Latvia,0.903845622,26,26
1357,Kenya,97096.025,Japan,1.030827433,27,27
1358,Kenya,85955,Togo,0.879086887,28,28
1359,Kenya,78363.05,United Rep. of Tanzania,0.626269022,29,29
1360,Kenya,76055,France,1.179875432,30,30
1361,Kenya,54757.62,Switzerland,2.73275146,31,31
1362,Kenya,54189.895,South Africa,0.667075386,32,32
1363,Kenya,44539,Nigeria,0.933411559,33,33
1364,Kenya,42483.65,Spain,1.03832055,34,34
1365,Kenya,38453.623,Sweden,0.815930211,35,35
1366,Kenya,34188,Morocco,1.792460024,36,36
1367,Kenya,32744,Qatar,0.944512404,37,37
1368,Kenya,32613.5,Singapore,0.893291199,38,38
1369,Kenya,32046,Ethiopia,4.085865599,39,39
1370,Kenya,30286,Austria,0.934670409,40,40
1371,Kenya,29815,Bulgaria,0.912254478,41,41
1372,Kenya,27804,Botswana,1.388308058,42,42
1373,Kenya,26223.075,Ghana,2.67021894,43,43
1374,Kenya,26210,Portugal,0.810537224,44,44
1375,Kenya,25417.5,Philippines,1.139760122,45,45
1376,Kenya,25408.5,Cambodia,0.334937349,46,46
1377,Kenya,24172,Slovakia,1.380492843,47,47
1378,Kenya,22861,Belarus,0.851087267,48,48
1379,Kenya,22410,Chile,0.911526774,49,49
1380,Kenya,21246,North Korea,1.019631036,50,50
1381,Kiribati,226660.391,Australia,1.345696207,1,1
1382,Kuwait,104433.12,U.A Emirates,1.656625539,1,1
1383,Kuwait,26074.27,USA,8.915489965,2,2
1384,Kuwait,24991.05,China,4.426571544,3,3
1385,Kyrgyzstan,394402.5,South Korea,0.808548936,1,1
1386,Kyrgyzstan,69736,Germany,2.212944173,2,2
1387,Kyrgyzstan,62442.5,Pakistan,0.510952043,3,3
1388,Kyrgyzstan,54949.625,Lithuania,0.614154896,4,4
1389,Kyrgyzstan,49969,Finland,7.467416708,5,5
1390,Kyrgyzstan,48103,Belgium,0.881274236,6,6
1391,Kyrgyzstan,44791,Russian Federation,0.57544817,7,7
1392,Kyrgyzstan,40472,USA,0.946445393,8,8
1393,Kyrgyzstan,29727,Poland,0.39818333,9,9
1394,Kyrgyzstan,27000,Belarus,4.166666667,10,10
1395,Kyrgyzstan,22731.5,China,2.795888646,11,11
1396,Kyrgyzstan,21927,Italy,0.790532221,13,13
1397,Kyrgyzstan,20466,U.A Emirates,1.246478218,14,14
1398,Latvia,7235724,United Kingdom,2.166351458,1,1
1399,Latvia,1552902,Lithuania,1.937257145,2,2
1400,Latvia,1534307.5,Switzerland,0.922395133,3,3
1401,Latvia,1091053,Germany,2.236845605,4,4
1402,Latvia,1057725,Estonia,1.16116571,5,5
1403,Latvia,984114,Norway,0.59142265,6,6
1404,Latvia,868733.5,Ireland,1.000294148,7,7
1405,Latvia,730150.5,Netherlands,1.269703831,8,8
1406,Latvia,552536.5,Sweden,0.725787802,9,9
1407,Latvia,232891,Austria,0.456278303,10,10
1408,Latvia,172769,Oman,2.226564974,11,11
1409,Latvia,142106,Finland,5.947146461,12,12
1410,Latvia,117786.5,Belgium,4.057426181,13,13
1411,Latvia,101740.5,Poland,2.732302416,14,14
1412,Latvia,42420,Czechia,1.394680009,15,15
1413,Latvia,39882,Malaysia,3.022565819,16,16
1414,Latvia,37600,Denmark,0.682646724,17,17
1415,Latvia,23217.5,Italy,8.82679077,18,18
1416,Latvia,23197.782,Canada,1.154863888,19,19
1417,Lebanon,4142282.5,Germany,1.230730029,1,1
1418,Lebanon,2033123.75,Belgium,1.015686752,2,2
1419,Lebanon,1767472.5,Turkey,0.831154535,3,3
1420,Lebanon,867192,China,1.142381008,4,4
1421,Lebanon,628854,United Kingdom,1.084391816,5,5
1422,Lebanon,482806,USA,1.440075185,6,6
1423,Lebanon,423225,U.A Emirates,0.973648086,7,7
1424,Lebanon,407953,Portugal,0.607352,8,8
1425,Lebanon,272788,Togo,0.943653259,9,9
1426,Lebanon,246803,Poland,1.016538824,10,10
1427,Lebanon,201930,Cyprus,0.393758679,11,11
1428,Lebanon,150293.5,Italy,1.042941656,12,12
1429,Lebanon,116905,Tunisia,0.79255939,13,13
1430,Lebanon,111238.78,Sweden,0.811281512,14,14
1431,Lebanon,98859.5,Australia,1.678463678,15,15
1432,Lebanon,98180,Pakistan,0.925330132,16,16
1433,Lebanon,92727,Netherlands,1.13613432,17,17
1434,Lebanon,92560.5,Singapore,1.045949463,18,18
1435,Lebanon,92337,Hungary,1.352174448,19,19
1436,Lebanon,82238.5,Morocco,1.95381159,20,20
1437,Lebanon,79000,Angola,1.116266667,21,21
1438,Lebanon,74240,South Korea,1.225187405,22,22
1439,Lebanon,66588.5,France,1.222442246,23,23
1440,Lebanon,56627,Bulgaria,3.284353789,24,24
1441,Lebanon,53640,India,1.164851868,25,25
1442,Lebanon,46261.5355,Canada,1.091044072,26,26
1443,Lebanon,45240.5,Denmark,0.744901238,27,27
1444,Lebanon,41906.5,Ukraine,1.168471337,28,28
1445,Lebanon,38296,Czechia,0.804947307,29,29
1446,Lebanon,38008.5,Spain,2.24571724,30,30
1447,Lebanon,25650,Greece,2.112724553,31,31
1448,Lebanon,25650,Malaysia,0.167704953,32,31
1449,Lebanon,22950,Senegal,0.958230065,33,33
1450,Lesotho,234922,Netherlands,0.960175369,1,1
1451,Lesotho,183000,United Kingdom,1.273229017,2,2
1452,Lesotho,171951,Belgium,0.666056814,3,3
1453,Lesotho,76890,Pakistan,1.000308089,4,4
1454,Lesotho,68071,Japan,0.318427289,5,5
1455,Lesotho,55000,South Korea,0.337703691,6,6
1456,Lesotho,54540,U.A Emirates,0.204288779,7,7
1457,Lesotho,51000,South Africa,1.254965439,8,8
1458,Lesotho,49110,Italy,1.311572138,9,9
1459,Lesotho,47790,France,0.728704633,10,10
1460,Lesotho,42590,Ghana,0.450521829,11,11
1461,Lesotho,33376.75,Canada,0.254464263,12,12
1462,Lesotho,26725,Germany,0.7873316,13,13
1463,Lesotho,24915,CuraÁao,0.289434638,14,14
1464,Lesotho,23587,Hungary,0.943867385,15,15
1465,Lesotho,22815,Australia,0.329251896,16,16
1466,Lesotho,21875,Switzerland,0.560951406,17,17
1467,Liberia,8458390,USA,0.974181611,1,1
1468,Liberia,2229734,Pakistan,0.960139954,2,2
1469,Liberia,1523801,China,1.023466772,3,3
1470,Liberia,353148.654,Canada,1.120335321,4,4
1471,Liberia,187390,India,1.018883606,5,5
1472,Liberia,93418,Togo,0.9543248,6,6
1473,Liberia,87347,Italy,1.197887577,7,7
1474,Liberia,67660,Germany,1.209069982,8,8
1475,Liberia,62423,South Korea,0.635922468,9,9
1476,Liberia,39835,United Kingdom,1.903143467,10,10
1477,Liberia,29580,Greece,0.187926944,11,11
1478,Liberia,25970,Turkey,0.35,12,12
1479,Liberia,23482.5,Poland,1.185290665,13,13
1480,Libya,689082.85,Belgium,2.791499438,1,1
1481,Libya,208090,United Kingdom,1.1750753,2,2
1482,Libya,111061.547,Egypt,1.120335324,3,3
1483,Libya,84689,Portugal,0.295681588,4,4
1484,Libya,81000,Ukraine,0.183604938,5,5
1485,Libya,66205,Bulgaria,1.578371996,6,6
1486,Libya,65300,South Korea,1.359760214,7,7
1487,Libya,20673,Turkey,0.910497425,8,8
1488,Lithuania,10333449,Sweden,0.680113425,1,1
1489,Lithuania,9430230,Netherlands,0.798220857,2,2
1490,Lithuania,7555456,United Kingdom,1.777185704,3,3
1491,Lithuania,6912503.5,Germany,1.232664214,4,4
1492,Lithuania,3065716,Poland,2.024620519,5,5
1493,Lithuania,2846794,Norway,0.740369807,6,6
1494,Lithuania,2222318,Austria,0.8392998,7,7
1495,Lithuania,2058208,Finland,0.534973934,8,8
1496,Lithuania,1356828,Italy,1.286499531,9,9
1497,Lithuania,944228,Latvia,1.56776976,10,10
1498,Lithuania,897538.5,Switzerland,0.986133161,11,11
1499,Lithuania,678051,Oman,1.908644516,12,12
1500,Lithuania,631833.6,Turkey,1.949933248,13,13
1501,Lithuania,572788.6,Denmark,0.783326045,14,14
1502,Lithuania,385619.65,USA,3.970229048,15,15
1503,Lithuania,377081,Hungary,3.608648464,16,16
1504,Lithuania,360864,Nicaragua,2.040726922,17,17
1505,Lithuania,309728,Slovakia,1.414970555,18,18
1506,Lithuania,294523.5,Estonia,1.26348476,19,19
1507,Lithuania,287120.5,Ukraine,1.147048822,20,20
1508,Lithuania,218535.946,Canada,1.153810308,21,21
1509,Lithuania,203728.3,Belgium,1.109348534,22,22
1510,Lithuania,170145,France,1.767722655,23,23
1511,Lithuania,165563.095,Belarus,1.275402136,24,24
1512,Lithuania,99559,Ireland,1.995100877,25,25
1513,Lithuania,73997.75,U.A Emirates,1.78207326,26,26
1514,Lithuania,70173,Czechia,0.336928501,27,27
1515,Lithuania,36798.5,Bulgaria,3.249650272,28,28
1516,Lithuania,34773,Morocco,6.574512064,29,29
1517,Lithuania,30020,Luxembourg,0.86242505,30,30
1518,Luxembourg,215397,Spain,0.409623785,1,1
1519,Luxembourg,180884.5,Slovakia,0.229879866,2,2
1520,Luxembourg,22720.5,U.A Emirates,0.34549981,4,4
1521,Madagascar,15772709,China,1.323276622,1,1
1522,Madagascar,8105046.5,Pakistan,1.025586912,2,2
1523,Madagascar,5684205.5,France,0.757548943,3,3
1524,Madagascar,1230223.2,Belgium,1.007210568,4,4
1525,Madagascar,979702,U.A Emirates,1.076988665,5,5
1526,Madagascar,881941,USA,1.161098787,6,6
1527,Madagascar,667230.823,Canada,1.130158701,7,7
1528,Madagascar,664404.5,India,1.168738645,8,8
1529,Madagascar,598435,South Korea,1.114712132,10,10
1530,Madagascar,596904,Malaysia,0.900450982,11,11
1531,Madagascar,577156.45,Germany,0.994781788,12,12
1532,Madagascar,566137.5,Australia,1.179493672,13,13
1533,Madagascar,550016,Italy,0.98716139,14,14
1534,Madagascar,356624,Turkey,0.8579415,15,15
1535,Madagascar,124285,Singapore,1.073154184,16,16
1536,Madagascar,53323,Poland,1.324257213,17,17
1537,Madagascar,47390,Hong Kong,1.413905728,18,18
1538,Madagascar,35235,Bangladesh,1.141974173,19,19
1539,Madagascar,34126.5,Netherlands,1.420502393,20,20
1540,Madagascar,25064,Bulgaria,1.174432342,21,21
1541,Madagascar,24000,Senegal,0.234828,23,23
1542,Madagascar,23535,North Korea,1.086211194,24,24
1543,Malawi,9791136,Pakistan,0.939592979,1,1
1544,Malawi,8250981,China,1.34180701,2,2
1545,Malawi,2044030,India,1.315192237,3,3
1546,Malawi,1394070,South Africa,0.825991929,4,4
1547,Malawi,1279465,Lithuania,0.78155775,5,5
1548,Malawi,790068,Canada,1.154863889,6,6
1549,Malawi,738032,Poland,1.029331157,7,7
1550,Malawi,636558,USA,0.834309422,8,8
1551,Malawi,523215,U.A Emirates,1.61711706,9,9
1552,Malawi,495301,Italy,1.342714209,10,10
1553,Malawi,476305,Bulgaria,0.765672204,11,11
1554,Malawi,243626,Turkey,1.415637083,12,12
1555,Malawi,239289,Spain,0.720688055,13,13
1556,Malawi,235395,Estonia,0.415991061,14,14
1557,Malawi,211529,Slovakia,0.834387548,15,15
1558,Malawi,158485,Hong Kong,1.395920886,16,16
1559,Malawi,142087.701,Finland,1.672725212,17,17
1560,Malawi,135744.5,Oman,1.488371616,18,18
1561,Malawi,130845,Singapore,1.272813252,20,20
1562,Malawi,114168,Philippines,1.457671641,21,21
1563,Malawi,73834.5,South Korea,1.277127835,22,22
1564,Malawi,65650,Malaysia,0.834684296,23,23
1565,Malawi,58909,United Kingdom,0.776249465,24,24
1566,Malawi,56315,Germany,1.391843931,25,25
1567,Malawi,49248,Czechia,0.467024042,26,26
